imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,genres,imdb_rating,imdb_no_votes,Streamer,directors,writers,Age,imdb_id2,tmdb_id
tt7649694,tvSeries,Ramy,Ramy,2019,0,30,"Comedy,Drama,Romance",8.0,16129.0,Hulu,"nm3858973,nm1435062,nm3846239,nm0102873,nm0636675,nm3034178,nm0007814,nm1486975,nm6144403","nm6144403,nm9429903,nm3858973,nm2550871,nm6714618,nm10111083,nm11385796,nm7032414,nm11542243,nm2594519,nm6850073,nm1064127,nm4523059,nm7691311,nm1269432,nm0880436,nm7916684,nm7439576",TV-MA,7649694,87382.0
tt7587362,tvMiniSeries,Four Weddings and a Funeral,Four Weddings and a Funeral,2019,2019,60,"Comedy,Romance",7.2,6211.0,Hulu,"nm0607701,nm0788426,nm2503466,nm0568224","nm9946590,nm4007858,nm1411676,nm5857107,nm2346189,nm0334946,nm2236770,nm2184926,nm3663337,nm4030798",TV-MA,7587362,84282.0
tt7661046,tvSeries,Dollface,Dollface,2019,2022,29,Comedy,7.4,10880.0,Hulu,"nm2370148,nm0174483,nm1056186,nm0304091,nm0818485,nm0881206,nm0036496,nm0144023,nm4772008,nm1829290,nm7531112,nm6631926","nm4343561,nm4589134,nm2590660,nm2830469,nm6190986,nm0618871,nm3072210,nm6601073,nm3445626,nm3303741",TV-MA,7661046,84584.0
tt8577458,tvSeries,High Fidelity,High Fidelity,2020,2020,30,"Comedy,Drama,Romance",7.7,15487.0,Hulu,"nm0005169,nm0718001,nm2440581,nm2936539,nm0673400","nm3445626,nm0394984,nm8531569,nm1172533,nm2302571,nm1957892,nm6767585,nm10151117,nm2189920,nm6511148,nm2368789,nm6309321",TV-MA,8577458,96734.0
tt2235759,tvSeries,The Great,The Great,2020,2023,1594,"Biography,Comedy,Drama",8.2,52635.0,Hulu,"nm0118778,nm0601599,nm2134432,nm1271464,nm1232262,nm1203789,nm0297489,nm5294992,nm0110644,nm0284308,nm1390496,nm0787687","nm1110111,nm0018790,nm9234084,nm0601599,nm12181870,nm10490815,nm12878021,nm1511459,nm2208729,nm8526326,nm1198822,nm1127337",TV-MA,2235759,93812.0
tt10166602,tvSeries,"Love, Victor","Love, Victor",2020,2022,30,"Comedy,Drama,Romance",8.0,21301.0,Hulu,"nm0258128,nm3399862,nm1420377,nm0038893,nm10976608,nm0281945,nm0390844,nm1015063,nm3156269,nm3060183,nm5514695,nm1440863,nm0101908,nm0838198,nm0934663,nm6955079,nm3215024,nm0935631","nm7698350,nm4170842,nm0074165,nm5445860,nm8502652,nm12654393,nm3600024,nm3974775,nm3777196,nm9165845,nm7860202,nm2521206,nm3405369,nm8108153,nm3873358,nm0493018,nm5603256,nm6152442,nm0777312,nm0927497,nm1723197",TV-14,10166602,97186.0
tt2818496,tvSeries,The Awesomes,The Awesomes,2013,2015,23,"Action,Animation,Comedy",7.3,1585.0,Hulu,"nm1980744,nm2539632","nm1024878,nm0794727,nm4757453,nm6777327,nm0935099,nm0506373,nm2089814,nm1645193,nm0430781,nm1733287,nm0583570",TV-14,2818496,28104.0
tt8910922,tvSeries,Solar Opposites,Solar Opposites,2020,0,22,"Adventure,Animation,Comedy",8.0,29641.0,Hulu,"nm1754908,nm1490569,nm0161125,nm2483667,nm5749407,nm8423501,nm7822535,nm0858355","nm0572982,nm1551598,nm8432798,nm8401795,nm6773977,nm7619449,nm2990908,nm0125725,nm2257388,nm3201185,nm10444112,nm2936403,nm1766778,nm4371972,nm4271464,nm0508884,nm6653912",TV-MA,8910922,97645.0
tt8777690,tvSeries,Crossing Swords,Crossing Swords,2020,2021,22,"Animation,Comedy,Fantasy",6.7,1778.0,Hulu,"nm1858844,nm3652269,nm1086024","nm1858844,nm1802814,nm2885803,nm6009984,nm4517196,nm3768688,nm2745046,nm8691332,nm6411728,nm0974533",TV-MA,8777690,104127.0
tt10394790,tvSeries,The Bravest Knight,The Bravest Knight,2019,2019,12,"Animation,Family",6.9,139.0,Hulu,nm1885073,"nm8751205,nm0736609",TV-Y7,10394790,90617.0
tt2269658,tvSeries,Doozers,Doozers,2012,2018,11,"Animation,Family",7.4,72.0,Hulu,"nm0725994,nm1185009,nm0330665,nm1929744,nm3773734,nm5293191,nm0414505","nm1920946,nm1185009,nm1682741,nm1135023,nm2954947,nm2194656,nm0674902,nm3774283,nm1776781,nm4665361,nm4421132,nm1115084,nm2047890,nm4034222",,2269658,79516.0
tt2057511,tvSeries,A Day in the Life,A Day in the Life,2011,2012,25,Documentary,6.0,55.0,Hulu,nm1041597,\N,,2057511,40488.0
tt2188577,tvSeries,Up to Speed,Up to Speed,2012,2012,60,"Biography,Comedy",6.4,163.0,Hulu,nm0000500,"nm0506171,nm0000500",TV-14,2188577,43587.0
tt2884130,tvSeries,Behind the Mask,Behind the Mask,2013,2015,30,"Documentary,Sport",7.5,169.0,Hulu,nm2307949,nm2307949,,2884130,84402.0
tt5122514,tvSeries,RocketJump: The Show,RocketJump: The Show,2015,2016,30,"Action,Comedy",7.1,176.0,Hulu,"nm2312117,nm3807502,nm5080673,nm3950075,nm3087799","nm2312117,nm4546045,nm3950075,nm5094166,nm4973231",,5122514,65781.0
tt5361394,tvMiniSeries,Triumph's Election Watch 2016,Triumph's Election Watch 2016,2016,2016,85,Comedy,8.3,202.0,Hulu,nm0696489,"nm0106563,nm3265587,nm0271017,nm2889775,nm1092072,nm2040572,nm2452107,nm0464523,nm3689037,nm1682822,nm3521834,nm0716926,nm3461468,nm0806912,nm1927564,nm2243863,nm1501030,nm3015160,nm1336162,nm3756026,nm1702396,nm7869077,nm4227392,nm7696250,nm1395385,nm0416853,nm1020628",,5361394,
tt11203896,tvSeries,VICE Investigates,VICE Investigates,2019,0,0,Documentary,7.0,103.0,Hulu,nm2448288,\N,,11203896,95088.0
tt11558924,tvMiniSeries,Hillary,Hillary,2020,2020,253,"Biography,Documentary",7.0,2678.0,Hulu,nm0123379,\N,TV-PG,11558924,96391.0
tt1826909,tvSeries,The Morning After,The Morning After,2011,0,5,"Short,Talk-Show",7.2,99.0,Hulu,"nm3475882,nm1878342,nm4519246,nm0006802,nm3068010,nm4436863,nm3006046,nm0366612,nm1260607","nm2019720,nm5606517,nm3068010,nm2952462,nm4215903,nm1260607,nm0324330,nm2668086,nm4436863,nm0002123,nm0366612,nm3838766,nm1443120,nm2842124,nm5204249,nm0454020,nm2603028,nm1878342,nm3006046,nm4519246,nm3817196,nm5423900,nm5086142,nm3331919,nm3475882",,1826909,39177.0
tt2404125,tvSeries,Spoilers with Kevin Smith,Spoilers with Kevin Smith,2012,2014,30,Talk-Show,6.8,307.0,Hulu,"nm1018295,nm1237687",\N,,2404125,
tt7509270,tvSeries,"I Love You, America","I Love You, America",2017,2018,29,"Comedy,Talk-Show",6.3,1357.0,Hulu,"nm1337210,nm3998229,nm3499593,nm1587097,nm1097698,nm0789166","nm4132900,nm3265587,nm4329054,nm4433674,nm4479696,nm8327857,nm2212001,nm1178424,nm5169583,nm2361892,nm9714164,nm4696339,nm4139731,nm0798971,nm3344453",TV-MA,7509270,74359.0
