imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,imdb_rating,imdb_no_votes,Streamer,Age,imdb_id2,tmdb_id,creators,writer_1,writer_2,writer_3,director_1,director_2,director_3,genre_1,genre_2,director_1_name,director_2_name,director_3_name
tt22872838,tvMiniSeries,FIFA Uncovered,FIFA Uncovered,2022,2022,221,7.4,6352.0,Netflix,7,22872838,213193,,14178580,,,1326085,,,Crime,Documentary,Daniel Gordon,,
tt23022276,tvMiniSeries,"Pepsi, Where's My Jet?","Pepsi, Where's My Jet?",2022,2022,157,7.0,11759.0,Netflix,18,23022276,213134,,\N,,,3005627,,,Documentary,History,Andrew Renzi,,
tt23553310,tvMiniSeries,Crime Scene: The Texas Killing Fields,Crime Scene: The Texas Killing Fields,2022,2022,149,6.6,4337.0,Netflix,18,23553310,214180,Jessica Dimmock,\N,,,4078902,,,Crime,Documentary,Jessica Dimmock,,
tt9319668,tvSeries,1899,1899,2022,2022,60,7.3,104997.0,Netflix,18,9319668,90669,"('Baran bo Odar', 'Jantje Friese')",2171633,1296729,2479588,2171633,,,Drama,Horror,Baran bo Odar,,
tt16124614,tvSeries,Blockbuster,Blockbuster,2022,2022,30,5.1,8580.0,Netflix,14,16124614,201874,Vanessa Ramos,7093734,3580359,0164799,1912959,0164799,3083111,Comedy,,Payman Benz,Jackie Clarke,
tt13443470,tvSeries,Wednesday,Wednesday,2022,0,45,8.1,344031.0,Netflix,14,13443470,119051,"('Miles Millar', 'Alfred Gough')",0011623,0332184,0587692,0000318,0550931,1499979,Comedy,Crime,Tim Burton,James Marshall,
tt22097692,tvSeries,StoryBots: Answer Time,StoryBots: Answer Time,2022,0,20,7.4,99.0,Netflix,0,22097692,213573,"('Evan Spiridellis', 'Gregg Spiridellis')",2017360,1672068,1672069,7033930,2968347,8286468,Adventure,Animation,Edlyn Capulong,Jeff Gill,
tt23037654,tvSeries,Khakee: The Bihar Chapter,Khakee: The Bihar Chapter,2022,0,45,8.2,11118.0,Netflix,14,23037654,213635,Neeraj Pandey,3109770,7035720,14228865,4083978,,,Action,Crime,Bhav Dhulia,,
tt15289042,tvSeries,First Love,First Love,2022,2022,50,8.4,4640.0,Netflix,18,15289042,210955,,3668395,,,3668395,,,Drama,Romance,Yuri Kanchiku,,
tt22479848,tvSeries,Somebody,Somebody,2022,0,48,6.0,2155.0,Netflix,18,22479848,112837,"('Jung Ji-woo', 'Han Ji-wan')",13659483,,,0161242,,,Crime,Drama,Ji-woo Jung,,
tt22807484,tvSeries,Ancient Apocalypse,Ancient Apocalypse,2022,2022,30,7.3,9799.0,Netflix,13,22807484,212869,,\N,,,1635390,,,Documentary,History,Marc Tiley,,
tt23181168,tvSeries,Our Universe,Our Universe,2022,0,45,7.6,2700.0,Netflix,7,23181168,213608,,1470516,,,2423767,2238455,2496014,Documentary,,Naomi Austin,Stephen Cooter,
tt23061466,tvSeries,"Blood, Sex & Royalty","Blood, Sex & Royalty",2022,0,44,5.9,1549.0,Netflix,18,23061466,214257,,12254773,4857527,9038783,1104159,,,Biography,Documentary,James Bryce,,
tt14302518,tvSeries,Reign Supreme,Reign Supreme,2022,0,52,7.8,560.0,Netflix,16,14302518,121171,"('Katell Quillévéré', 'Hélier Cisterne', 'Vincent Poymiro', 'David Elkaïm')",1028625,1345862,13690191,1345862,1580395,,Biography,Drama,Hélier Cisterne,Katell Quillévéré,
tt8421350,tvSeries,Manifest,Manifest,2018,2023,43,7.1,88515.0,Netflix,14,8421350,79696,Jeff Rake,0707517,9414385,2837457,0864268,1226492,0924693,Drama,Mystery,Romeo Tirone,Michael Smith,
tt22012456,tvSeries,Teletubbies,Teletubbies,2022,0,12,4.6,156.0,Netflix,0,22012456,1682,"('Anne Wood', 'Andrew Davenport')",3790450,1096087,1354128,1770556,1046748,,Animation,Family,Nicole Stamp,Jesse Shamata,
tt14494944,tvMiniSeries,The Final Score,The Final Score,2022,2022,55,7.1,297.0,Netflix,18,14494944,213550,"('C.S. Prince', 'Pablo Gonzalez')",2872021,2871276,7202276,3191235,2872021,2697540,Biography,Drama,Claudia Zie,Carlos Moreno,
tt12785720,tvMiniSeries,The Witcher: Blood Origin,The Witcher: Blood Origin,2022,2022,50,4.9,43940.0,Netflix,18,12785720,106541,"('Lauren Schmidt Hissrich', 'Declan de Barra')",1835160,14394262,1274355,2351920,2564973,,Action,Adventure,Vicky Jewson,Sarah O'Gorman,
tt16450274,tvMiniSeries,Treason,Treason,2022,2022,207,6.4,21927.0,Netflix,18,16450274,157080,Matt Charman,4131020,5397962,,2564973,0393776,,Action,Drama,Sarah O'Gorman,Louise Hooper,
tt15700830,tvMiniSeries,A Storm for Christmas,A Storm for Christmas,2022,2022,200,7.1,4509.0,Netflix,13,15700830,210532,"('Lars Saabye Christensen', 'Per-Olav Sørensen')",0159835,4153140,1633071,1633071,,,Comedy,Drama,Per-Olav Sørensen,,
tt23900194,tvSeries,Harry & Meghan,Harry & Meghan,2022,2022,58,5.1,23182.0,Netflix,18,23900194,215492,,\N,,,0305017,1757155,,Documentary,,Liz Garbus,Erica Sashin,
tt23751640,tvMiniSeries,Beast of Bangalore: Indian Predator,Beast of Bangalore: Indian Predator,2022,2022,143,6.2,599.0,Netflix,18,23751640,215871,,4677992,,,4677992,,,Crime,Documentary,Ashwin Rai Shetty,,
tt23747008,tvSeries,Far from Home,Far from Home,2022,0,32,6.1,408.0,Netflix,18,23747008,215874,"('Chinaza Onuzo', 'Damilola Elebe')",10003904,10219730,6576882,2595823,10050155,,Drama,,Catherine Stewart,Kayode Kasum,
tt16030542,tvSeries,The Recruit,The Recruit,2022,0,55,7.4,44175.0,Netflix,18,16030542,210916,Alexi Hawley,7515055,1149075,8705831,0391905,3222363,2016145,Action,Adventure,Julian Holmes,Emmanuel Osei-Kuffour,
tt22297722,tvSeries,Lookism,Lookism,2022,0,25,7.7,5839.0,Netflix,18,22297722,210942,,8883096,2390748,14094066,9729093,6228269,12433536,Action,Animation,Kang Hei Chul,So Young Park,
tt21031054,tvSeries,Dragon Age: Absolution,Dragon Age: Absolution,2022,0,30,6.4,3734.0,Netflix,18,21031054,203805,,3329994,2004812,3309878,3070915,3309878,,Action,Adventure,Ki-Yong Bae,Mairghread Scott,
tt13961348,tvSeries,Sonic Prime,Sonic Prime,2022,0,22,7.3,2280.0,Netflix,7,13961348,115577,"('Joe Kelly', 'Duncan Rouleau', 'Steven T. Seagle', 'Joe Casey')",2954947,4353665,0745691,3120087,1147326,2154278,Action,Adventure,Kiran Sangherra,Erik Wiese,
tt23556972,tvSeries,I Hate Christmas,I Hate Christmas,2022,0,31,6.5,2219.0,Netflix,18,23556972,212921,Per-Olav Sørensen,1634767,9596619,4485367,11872289,11872290,5136779,Comedy,Romance,Clemente De Muro,Davide Mardegan,
tt21104890,tvSeries,Gudetama: An Eggcellent Adventure,Gudetama: An Eggcellent Adventure,2022,0,10,7.3,1528.0,Netflix,7,21104890,203949,,14315607,0150140,4009300,1012102,,,Adventure,Animation,Motonori Sakakibara,,
tt22373732,tvSeries,The Fabulous,The Fabulous,2022,2022,60,6.5,1304.0,Netflix,14,22373732,135155,"('Im Jin-soon', 'Kim Ji-hee', 'Kim Jeong-hyeon')",14088346,11815746,0453515,12515727,,,Comedy,Drama,Kim Jung-hyun,,
tt21344706,tvSeries,The Glory,The Glory,2022,0,50,8.1,24553.0,Netflix,18,21344706,136283,"('Kim Eun-sook', 'An Gil-ho')",1757244,,,7270570,,,Drama,Mystery,Ahn Gil-ho,,
tt19723990,tvSeries,Dead End,Dead End,2022,2022,28,6.1,846.0,Netflix,18,19723990,214258,"('Grzegorz Jaroszuk', 'Jakub Piątek')",13629014,2337878,,4755304,2959338,,Comedy,Crime,Grzegorz Jaroszuk,Jakub Piatek,
tt18072556,tvMiniSeries,Smiley,Smiley,2022,2022,36,8.0,7684.0,Netflix,18,18072556,214609,,1952158,,,0656611,3216778,,Comedy,Romance,Marta Pahissa,David Martín Porras,
