Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
73,tt5186714,2020-08-18,2020-08-18,,Forooshande,https://www.imdb.com/title/tt5186714/,movie,7.7,124,2016,"Drama, Thriller",63835,2016-05-21,Asghar Farhadi
74,tt5804038,2020-08-18,2020-08-18,,I Am Not Your Negro,https://www.imdb.com/title/tt5804038/,movie,7.9,93,2016,"Documentary, History",23168,2016-09-10,Raoul Peck
75,tt1212428,2020-08-18,2020-08-18,,The Lost City of Z,https://www.imdb.com/title/tt1212428/,movie,6.6,141,2016,"Adventure, Biography, Drama, History",97706,2016-10-15,James Gray
76,tt4218696,2020-08-18,2020-08-18,,The Wall,https://www.imdb.com/title/tt4218696/,movie,6.2,88,2017,"Action, Drama, Thriller, War",30013,2017-05-12,Doug Liman
77,tt5462602,2020-08-18,2020-08-18,,The Big Sick,https://www.imdb.com/title/tt5462602/,movie,7.5,120,2017,"Comedy, Drama, Romance",141893,2017-01-20,Michael Showalter
78,tt6333056,2020-08-18,2020-08-18,,City of Ghosts,https://www.imdb.com/title/tt6333056/,movie,7.4,92,2017,"Documentary, War",4077,2017-01-21,Matthew Heineman
79,tt5737862,2020-08-18,2020-08-18,,Landline,https://www.imdb.com/title/tt5737862/,movie,6.4,97,2017,"Comedy, Drama",4853,2017-01-20,Gillian Robespierre
80,tt0460890,2020-08-18,2020-08-18,,The Only Living Boy in New York,https://www.imdb.com/title/tt0460890/,movie,6.3,89,2017,Drama,16761,2017-07-27,Marc Webb
81,tt3268340,2020-08-18,2020-08-18,,Crown Heights,https://www.imdb.com/title/tt3268340/,movie,6.7,94,2017,"Biography, Crime, Drama, Romance",2870,2017-01-23,Matt Ruskin
82,tt5884230,2020-08-18,2020-08-18,,Brad's Status,https://www.imdb.com/title/tt5884230/,movie,6.5,102,2017,"Comedy, Drama, Music",18905,2017-09-09,Mike White
83,tt6573444,2020-08-18,2020-08-18,,Human Flow,https://www.imdb.com/title/tt6573444/,movie,7.2,140,2017,Documentary,2763,2017-09-01,Ai Weiwei
84,tt5208216,2020-08-18,2020-08-18,,Wonderstruck,https://www.imdb.com/title/tt5208216/,movie,6.2,116,2017,"Adventure, Drama, Mystery",10931,2017-05-18,Todd Haynes
85,tt6018306,2020-08-18,2020-08-18,,Last Flag Flying,https://www.imdb.com/title/tt6018306/,movie,6.9,125,2017,"Comedy, Drama, War",27462,2017-09-28,Richard Linklater
86,tt5825380,2020-08-18,2020-08-18,,Wonder Wheel,https://www.imdb.com/title/tt5825380/,movie,6.2,101,2017,"Drama, Romance",30474,2017-10-14,Woody Allen
87,tt3721964,2020-08-18,2020-08-18,,Gringo,https://www.imdb.com/title/tt3721964/,movie,6.1,111,2018,"Action, Comedy, Crime, Drama",31800,2018-03-08,Nash Edgerton
88,tt5742374,2020-08-18,2020-08-18,,You Were Never Really Here,https://www.imdb.com/title/tt5742374/,movie,6.7,89,2017,"Crime, Drama, Thriller",125901,2017-05-27,Lynne Ramsay
89,tt7768846,2020-08-18,2020-08-18,,Pass Over,https://www.imdb.com/title/tt7768846/,movie,6.1,74,2018,Drama,1076,2018-01-26,"Danya Taymor, Spike Lee"
