imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,imdb_rating,imdb_no_votes,Streamer,Age,imdb_id2,tmdb_id,writer_1,writer_2,writer_3,director_1,director_2,director_3,genre_1,genre_2,director_1_name,director_2_name,director_3_name,writer_1_name,writer_2_name,writer_3_name,ep_run_times,writer_1_pop,writer_2_pop,writer_3_pop,director_1_pop,director_2_pop,director_3_pop,tmdb_popularity,no_of_ep,no_of_seasons,team_popularity,origin_language,creator/actor?,first_country,second_country,actor_1_name,actor_2_name,cast_pop,actor_1_pop,actor_2_pop
tt6839788,tvSeries,Dogs of Berlin,Dogs of Berlin,2018,0,542,7.5,13929,Netflix,18,6839788,76652,23355,2679920,367068,23355,23355,23355,Action,Crime,Christian Alvart,Christian Alvart,Christian Alvart,Christian Alvart,Jan Cronauer,Georg Hartmann,60,3.0,1.1,0.6,3.0,3.0,3.0,78.5,10,1,2.3,de,0,DE,DE,Felix Kramer, Fahri Yardım,18.4,15.3,21.4
tt10986056,tvMiniSeries,Criminal: Germany,Criminal: Germany,2019,2019,59,7.6,5800,Netflix,18,10986056,93886,1637768,3765639,379864,386570,386570,386570,Crime,Drama,Oliver Hirschbiegel,Oliver Hirschbiegel,Oliver Hirschbiegel,Jim Field Smith,Sebastian Heeg,Alejandro Hernández,45,2.8,0.6,2.4,5.4,5.4,5.4,49.8,3,1,3.7,de,0,DE,DE,Eva Meckbach, Sylvester Groth,11.4,6.1,16.8
tt9184970,tvSeries,Skylines,Skylines,2019,2019,56,7.5,2932,Netflix,18,9184970,92150,3893920,2124318,11024143,3464744,4286439,3464744,Crime,Drama,Maximilian Erlenwein,Soleen Yusef,Maximilian Erlenwein,Dennis Schanz,Arne Ahrens,Oliver Karan,60,0.6,0.6,0.6,1.4,1.0,1.4,11.3,6,1,0.9,de,0,DE,DE,Edin Hasanović, Peri Baumeister,25.0,31.6,18.4
tt11053220,tvSeries,We Are the Wave,We Are the Wave,2019,0,50,6.3,3038,Netflix,16,11053220,94660,74217,304541,2012044,1986754,1103518,1986754,Drama,Drama,Anca Miruna Lazarescu,Mark Monheim,Anca Miruna Lazarescu,Jan Berger,Dennis Gansel,Christine Heinlein,45,2.2,4.4,0.6,1.2,1.2,1.2,27.1,6,1,1.8,de,0,DE,DE,Luise Befort, Ludwig Simon,9.4,4.9,13.9
tt11243536,tvMiniSeries,Holiday Secrets,Holiday Secrets,2019,2019,0,6.5,1289,Netflix,14,11243536,95465,264265,264265,264265,705852,705852,705852,Drama,Drama,Samira Radsi,Samira Radsi,Samira Radsi,Katharina Eyssen,Katharina Eyssen,Katharina Eyssen,34,1.2,1.2,1.2,1.1,1.1,1.1,33.6,3,1,1.2,de,0,DE,DE,Corinna Harfouch, Christiane Paul,12.0,9.3,14.7
tt10506510,tvSeries,The Last Word,The Last Word,2020,2020,40,7.1,1136,Netflix,13,10506510,110152,3473247,12107532,3866538,1548089,3866538,1548089,Comedy,Drama,Pola Beck,Aron Lehmann,Pola Beck,Burkhardt Wunderlich,Carlos V. Irmscher,Aron Lehmann,45,0.6,0.6,1.1,0.6,1.1,0.6,12.0,6,1,0.8,de,0,DE, MX,Anke Engelke, Thorsten Merten,18.4,22.5,14.2
tt11951234,tvMiniSeries,Over Christmas,Over Christmas,2020,2020,48,6.7,2422,Netflix,7,11951234,112538,8440147,8440147,8440147,1095164,1095164,1095164,Comedy,Drama,Tobi Baumann,Tobi Baumann,Tobi Baumann,Christian Huber,Christian Huber,Christian Huber,45,0.6,0.6,0.6,2.0,2.0,2.0,22.9,3,1,1.3,de,0,DE,DE,Luke Mockridge, Seyneb Saleh,7.2,5.8,8.6
tt15392100,tvMiniSeries,The Billion Dollar Code,The Billion Dollar Code,2021,2021,267,8.0,10873,Netflix,18,15392100,133357,2047699,2047699,2047699,1840944,1840944,1840944,Biography,Crime,Robert Thalheim,Robert Thalheim,Robert Thalheim,Oliver Ziegenbalg,Oliver Ziegenbalg,Oliver Ziegenbalg,66,1.9,1.9,1.9,1.7,1.7,1.7,24.8,4,1,1.8,de,0,DE,DE,Leonard Scheicher, Marius Ahrendt,4.1,4.9,3.2
tt6077448,tvSeries,Sacred Games,Sacred Games,2018,2019,50,8.5,92067,Netflix,18,6077448,79352,3542598,151512,1810831,440604,3939,4784536,Action,Crime,Anurag Kashyap,Vikramaditya Motwane,Anurag Kashyap,Varun Grover,Vikram Chandra,Vasant Nath,50,1.8,0.6,0.6,2.6,1.0,2.6,48.4,16,2,1.6,hi,0,IN,IN,Pankaj Tripathi, Saif Ali Khan,15.3,10.7,20.0
tt5909930,tvMiniSeries,Ghoul,Ghoul,2018,2018,45,7.0,14927,Netflix,18,5909930,80707,3318887,3760511,4308825,3318887,3318887,3318887,Drama,Fantasy,Patrick Graham,Patrick Graham,Patrick Graham,Patrick Graham,Kartik Krishnan,Sarang Sathaye,45,0.6,0.6,2.1,0.6,0.6,0.6,26.6,3,1,0.8,hi,0,IN,IN,Rohit Pathak, Manav Kaul,5.8,3.5,8.2
tt8004628,tvSeries,Selection Day,Selection Day,2018,0,23,7.3,2370,Netflix,14,8004628,84310,89202,5046012,1386575,6841,3095461,6841,Sport,Sport,Udayan Prasad,Karan Boolani,Udayan Prasad,Marston Bloom,Sumit Arora,Athar Nawaaz,44,1.0,1.4,0.6,2.1,1.0,2.1,9.8,12,1,1.4,hi,0,IN,IN,Mohammad Samad, Yash Shashank Dholye,2.8,3.7,2.0
tt9337588,tvSeries,Leila,Leila,2019,0,48,5.0,9249,Netflix,18,9337588,89545,10766660,3318887,4478309,576548,474848,2384379,Drama,Sci-Fi,Deepa Mehta,Pawan Kumar,Deepa Mehta,Prayaag Akbar,Patrick Graham,Asad Hussain,45,0.6,0.6,0.7,1.4,2.0,1.4,20.1,6,1,1.1,hi,0,IN,IN,Huma Qureshi, Siddharth,11.5,14.4,8.6
tt9310372,tvSeries,Typewriter,Typewriter,2019,2019,48,6.5,4229,Netflix,18,9310372,91290,1223910,4857370,1330994,1223910,1223910,1223910,Horror,Mystery,Sujoy Ghosh,Sujoy Ghosh,Sujoy Ghosh,Sujoy Ghosh,Pratim D. Gupta,Suresh Nair,50,4.2,1.2,1.6,4.2,4.2,4.2,9.8,5,1,3.2,hi,0,IN,IN,Mikhail Gandhi, Sara Gesawat,2.6,1.6,3.6
tt8069036,tvSeries,Bard of Blood,Bard of Blood,2019,0,45,6.8,12040,Netflix,18,8069036,91016,12352391,4415007,9660259,4138262,4138262,4138262,Action,Adventure,Ribhu Dasgupta,Ribhu Dasgupta,Ribhu Dasgupta,Vidit Tripathi,Mayank Tewari,Bilal Siddiqi,44,0.6,0.6,0.6,2.0,2.0,2.0,26.9,7,1,1.3,hi,0,IN,IN,Emraan Hashmi, Sobhita Dhulipala,11.1,9.3,13.0
