imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,genres,imdb_rating,imdb_no_votes,Streamer,directors,writers,Age,imdb_id2,tmdb_id
tt0139780,tvSeries,Lifestories: Families in Crisis,Lifestories: Families in Crisis,1992,1996,30,"Drama,Family,Short",7.0,187.0,HBO(Max),"nm0850044,nm0305405,nm0002339,nm0872442,nm0685673,nm0606483,nm2576323,nm0002728,nm0240984","nm0363483,nm0392694,nm0293231,nm0713131,nm0502039,nm2258861,nm0614244",,139780,14247.0
tt2738036,tvSeries,HBO Storybook Musicals,HBO Storybook Musicals,1987,\N,\N,"Animation,Family,Musical",8.4,17.0,HBO(Max),"nm0807749,nm0819443","nm0123759,nm0279684,nm0458951,nm0819443,nm1520948",,2738036,11273.0
tt5875646,tvSeries,Freakish,Freakish,2016,2018,22,"Action,Drama,Horror",6.1,3035.0,Hulu,"nm0342603,nm0021592,nm0813446,nm0908587,nm0135529,nm0864468","nm2927127,nm2744718,nm1090179,nm0536841,nm0717954,nm1068213",,5875646,68052.0
tt1236246,tvSeries,Runaways,Runaways,2017,2019,60,"Action,Drama,Sci-Fi",6.8,28043.0,Hulu,"nm1052973,nm2007278,nm0126032,nm0606845,nm0509183,nm1270350,nm0206259,nm0387486,nm2745490,nm0605137,nm0791381,nm1084723,nm1305344,nm0534901,nm0542642,nm1457361,nm0676671,nm0007096,nm0839660,nm1406831,nm0362734,nm1353167,nm1060984,nm1203789,nm0941276","nm3020778,nm1335634,nm0777300,nm1592205,nm3098669,nm3428500,nm0670266,nm5771286,nm0573336,nm4212091,nm9638153,nm0055756,nm1576909,nm1492404,nm1161500,nm0283905,nm2353662,nm9638154",,1236246,116521.0
tt2187319,tvSeries,Battleground,Battleground,2012,2012,22,"Comedy,Drama",7.7,333.0,Hulu,nm0909665,"nm2043941,nm1965663,nm3314983,nm0909665",,2187319,57283.0
tt3453512,tvSeries,The Hotwives of Orlando,The Hotwives of Orlando,2014,2014,30,Comedy,7.5,975.0,Hulu,nm2352792,"nm0270718,nm1668855",,3453512,61281.0
tt4633166,tvSeries,The Hotwives of Las Vegas,The Hotwives of Las Vegas,2015,2015,30,Comedy,6.8,533.0,Hulu,nm2352792,"nm0270718,nm1668855",,4633166,75390.0
tt4676574,tvSeries,Difficult People,Difficult People,2015,2017,30,Comedy,7.1,4512.0,Hulu,"nm0907835,nm0281598,nm0198490,nm2062844","nm2453113,nm0283905,nm3756026,nm2062844,nm1417116,nm0502046,nm3920289,nm1912534,nm11505386",,4676574,63353.0
tt2269658,tvSeries,Doozers,Doozers,2012,2018,11,"Animation,Family",7.4,72.0,Hulu,"nm0725994,nm1185009,nm0330665,nm1929744,nm3773734,nm5293191,nm0414505","nm1920946,nm1185009,nm1682741,nm1135023,nm2954947,nm2194656,nm0674902,nm3774283,nm1776781,nm4665361,nm4421132,nm1115084,nm2047890,nm4034222",,2269658,79516.0
tt2057511,tvSeries,A Day in the Life,A Day in the Life,2011,2012,25,Documentary,6.0,55.0,Hulu,nm1041597,\N,,2057511,40488.0
tt2884130,tvSeries,Behind the Mask,Behind the Mask,2013,2015,30,"Documentary,Sport",7.5,169.0,Hulu,nm2307949,nm2307949,,2884130,84402.0
