imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,imdb_rating,imdb_no_votes,Streamer,Age,imdb_id2,tmdb_id,writer_1,writer_2,writer_3,director_1,director_2,director_3,genre_1,genre_2,director_1_name,director_2_name,director_3_name,writer_1_name,writer_2_name,writer_3_name,ep_run_times,writer_1_pop,writer_2_pop,writer_3_pop,director_1_pop,director_2_pop,director_3_pop,tmdb_popularity,no_of_ep,no_of_seasons,team_popularity,origin_language,origin_country,actors,creator/actor?
tt6729080,tvMiniSeries,Collateral,Collateral,2018,2018,230,6.8,20827,Netflix,16,6729080,76796,2376,2376,2376,1237416,1237416,1237416,Crime,Drama,S.J. Clarkson,S.J. Clarkson,S.J. Clarkson,David Hare,David Hare,David Hare,60,2.351,2.351,2.351,2.703,2.703,2.703,46.572,4,1,2.527,en,['GB'],"('Carey Mulligan', 'Vineeta Rishi')",0
tt6712390,tvMiniSeries,Requiem,Requiem,2018,2018,60,6.4,7284,Netflix,18,6712390,76819,1011780,1538151,1011780,4738043,4738043,4738043,Drama,Fantasy,Mahalia Belo,Mahalia Belo,Mahalia Belo,Kris Mrksa,Blake Ayshford,Kris Mrksa,60,0.635,1.4,0.635,1.22,1.22,1.22,75.387,6,1,1.055,en,['GB'],"('Lydia Wilson', 'Joel Fry')",0
tt5103758,tvSeries,Troy: Fall of a City,Troy: Fall of a City,2018,0,60,4.1,15061,Netflix,18,5103758,71181,1016333,392955,3620967,1067853,2787176,834378,Action,Adventure,Mark Brozel,Owen Harris,Mark Brozel,David Farr,Homer,Joe Barton,56,3.633,3.0,1.319,0.6,1.911,0.6,79.738,8,1,1.8438333333333328,en,['GB'],"('Louis Hunter', 'Bella Dayne')",0
tt7320300,tvSeries,The Letdown,The Letdown,2017,2019,30,7.5,3994,Netflix,18,7320300,75297,2173849,3245925,5337731,2173849,112565,2094436,Comedy,Comedy,Alison Bell,Amanda Brotchie,Alison Bell,Alison Bell,Sarah Scheller,Zoe Norton Lodge,30,0.673,0.84,0.6,0.673,0.6,0.673,61.185,13,2,0.6765,en,['AU'],"('Alison Bell', 'Duncan Fellows')",1
tt6807662,tvSeries,The New Legends of Monkey,The New Legends of Monkey,2018,2020,24,6.5,4920,Netflix,7,6807662,71577,11932394,2811448,675476,2067421,29014,992718,Action,Adventure,Gerard Johnstone,Peter Andrikidis,Gerard Johnstone,Jane Allen,Craig Irvin,Jacquelin Perske,23,0.6,0.6,8.971,2.369,1.708,2.369,73.555,20,2,2.7694999999999994,en,"['NZ', 'AU']","('Chai Hansen', 'Luciane Buchanan')",0
tt7902072,tvMiniSeries,Safe,Safe,2018,2018,356,7.2,48518,Netflix,18,7902072,72792,1454192,110662,285795,285726,1637821,626706,Crime,Drama,Julia Ford,Daniel O'Hara,Julia Ford,Harlan Coben,Daniel Brocklehurst,Mick Ford,45,21.435,2.517,6.351,1.22,0.715,1.22,177.134,8,1,5.576333333333333,en,['GB'],"('Michael C. Hall', 'Amanda Abbington')",0
tt5730690,tvMiniSeries,Kiss Me First,Kiss Me First,2018,2018,46,6.3,4180,Netflix,18,5730690,76604,255669,5056098,4587490,3407375,1245204,3407375,Drama,Mystery,Tom Green,Misha Manson-Smith,Tom Green,Bryan Elsley,Lottie Moggach,Laura Deeley,47,3.602,0.6,0.6,5.488,0.889,5.488,97.99,6,1,2.777833333333334,en,['GB'],"('Tallulah Haddon', 'Simona Brown')",0
tt8300324,tvSeries,I Am a Killer,I Am a Killer,2018,2022,52,7.4,4896,Netflix,18,8300324,81337,8021414,8021414,8021414,8021414,3133182,1889863,Crime,Documentary,Stuart Powell,Ross Young,Stuart Powell,Stuart Powell,Stuart Powell,Stuart Powell,51,0.6,0.6,0.6,0.6,0.6,0.6,12.266,32,4,0.6,en,['GB'],Not Available,0
tt7608238,tvSeries,Wanderlust,Wanderlust,2018,2018,60,7.0,5968,Netflix,18,7608238,81902,5387559,5387559,5387559,2866226,3370884,2866226,Drama,Drama,Luke Snellin,Lucy Tcherniak,Luke Snellin,Nick Payne,Nick Payne,Nick Payne,57,1.522,1.522,1.522,1.62,0.6,1.62,78.528,6,1,1.401,en,['GB'],"('Toni Collette', 'Steven Mackintosh')",0
tt8454808,tvSeries,Robozuna,Robozuna,2018,0,22,6.8,114,Netflix,0,8454808,83470,2816171,394447,880204,2816171,538037,2398433,Animation,Family,Ed Bignell,Steve Majaury,Ed Bignell,Ed Bignell,Kevin Hopps,Len Uhley,22,0.6,3.163,1.622,0.6,0.6,0.6,22.383,20,2,1.1975,en,['GB'],Not Available,0
tt7371868,tvMiniSeries,Pine Gap,Pine Gap,2018,2018,360,7.2,6628,Netflix,18,7371868,82469,352756,1331056,352756,1788073,1788073,1788073,Drama,Mystery,Mat King,Mat King,Mat King,Greg Haddrick,Felicity Packard,Greg Haddrick,60,0.6,0.661,0.6,0.6,0.6,0.6,15.895,6,1,0.6101666666666666,en,['AU'],"('Parker Sawyers', 'Jacqueline McKenzie')",0
tt6811236,tvSeries,Perfume,Perfume,2018,2018,45,7.0,9905,Netflix,18,6811236,84052,8941775,845752,8941775,434298,434298,434298,Drama,Thriller,Philipp Kadelbach,Philipp Kadelbach,Philipp Kadelbach,Eva Kranenburg,Patrick Süskind,Eva Kranenburg,55,0.6,4.271,0.6,2.145,2.145,2.145,65.549,6,1,1.9843333333333333,de,['DE'],"('Friederike Becht', 'Wotan Wilke Möhring')",0
tt5670764,tvMiniSeries,Watership Down,Watership Down,2018,2018,204,7.2,6831,Netflix,7,5670764,68394,11293,3635428,11293,1729171,1729171,1729171,Action,Adventure,Noam Murro,Noam Murro,Noam Murro,Richard Adams,Tom Bidwell,Richard Adams,100,0.6,0.84,0.6,0.83,0.83,0.83,64.023,2,1,0.7549999999999999,en,['GB'],"('James McAvoy', 'Nicholas Hoult')",0
tt7660730,tvSeries,Black Earth Rising,Black Earth Rising,2018,2018,60,7.5,5529,Netflix,18,7660730,82209,88372,14222221,88372,88372,88372,88372,Thriller,Thriller,Hugo Blick,Hugo Blick,Hugo Blick,Hugo Blick,Amit Patel,Hugo Blick,60,2.555,0.6,2.555,2.555,2.555,2.555,37.833,8,1,2.2291666666666665,en,['GB'],"('Michaela Coel', 'John Goodman')",0
tt6903284,tvSeries,Nightflyers,Nightflyers,2018,2018,60,5.9,14246,Netflix,18,6903284,78183,1161528,552333,1447604,530,867127,1068186,Drama,Horror,Andrew McCarthy,Mark Tonderai,Andrew McCarthy,Jeff Buhler,George R.R. Martin,David Schneiderman,45,0.977,3.788,0.709,14.757,4.508,14.757,49.088,10,1,6.5826666666666656,en,['US'],"(""Brían F. O'Byrne"", 'Maya Eshet')",0
