imdb_id,tmdb_id,Title,titleType,startYear,endYear,Streamer,Age,genre_1,genre_2,creator/actor?,origin_language,director_1_name,director_2_name,originalTitle,writer_1_imdb#,writer_2_imdb#,writer_3_imdb#,director_1_imdb#,director_2_imdb#,director_3_imdb#,director_3_name,writer_1_name,writer_2_name,writer_3_name,ep_run_times,writer_1_pop,writer_2_pop,writer_3_pop,director_1_pop,director_2_pop,director_3_pop,tmdb_popularity,no_of_ep,no_of_seasons,first_country,second_country,actor_1_pop,actor_2_pop,actor_1_name,actor_2_name,cast_pop,team_popularity,imdb_rating,imdb_no_votes,total_popularity
5761478,69541,Harlots,tvSeries,2017,2019,Hulu,18,Drama,Drama,0,en,Robin Sheppard,Jill Robertson,Harlots,1620490,627999,2560609,792012,2991,317328,Robin Sheppard,Moira Buffini,Alison Newman,Hallie Rubenhold,47,5.2,0.6,0.6,0.8,0.7,0.8,203.7,24,3,GB,GB,22.7,23.7,Rosalind Eleazar, Danny Sapani,23.2,1.5,7.7,10252,4.67
6402362,72749,Hard Sun,tvMiniSeries,2018,2018,Hulu,18,Crime,Drama,0,en,Richard Senior,Brian Kirk,Hard Sun,189232,189232,189232,1587079,1047532,5116688,Richard Senior,Neil Cross,Neil Cross,Neil Cross,60,0.7,0.7,0.7,2.0,2.3,2.0,37.8,6,1,GB,GB,48.2,22.1,Jim Sturgess, Agyness Deyn,35.1,1.4,6.6,5223,3.97
7412482,46928,The First,tvSeries,2018,2018,Hulu,0,Drama,Sci-Fi,0,en,Deniz Gamze Ergüven,Agnieszka Holland,The First,3860814,4300986,10489518,2197025,2140,3510385,Deniz Gamze Ergüven,AJ Marechal,Francesca Sloane,Francine Volpe,23,0.6,1.7,0.6,1.8,2.9,1.8,218.5,108,4,US,US,45.3,7.5,Ariel Winter, Travis Bryant,26.4,1.6,6.6,8117,4.28
8050586,83149,The Bisexual,tvSeries,2018,2018,Hulu,18,Comedy,Drama,1,en,Desiree Akhavan,Desiree Akhavan,The Bisexual,3034178,2360311,2680853,3034178,3034178,3034178,Desiree Akhavan,Desiree Akhavan,Cecilia Frugiuele,Rowan Riley,30,2.1,0.7,1.5,2.1,2.1,2.1,10.8,6,1,GB,GB,11.9,13.4,Desiree Akhavan, Maxine Peake,12.7,1.8,6.5,1381,3.56
8602408,89221,Holly Hobbie,tvSeries,2018,2022,Hulu,7,Drama,Family,0,en,Stefan Brogren,Sarah Glinski,Holly Hobbie,2346942,12920024,7215052,111197,2346942,717163,Stefan Brogren,Sarah Glinski,Fatuma Adar,Sam Godfrey,23,1.0,0.8,0.6,1.0,1.0,1.0,47.0,50,5,CA,US,16.6,12.7,Ruby Jay, Saara Chaudry,14.6,0.9,6.6,336,3.6
5056196,82744,Catch-22,tvMiniSeries,2019,2019,Hulu,18,Action,Comedy,0,en,George Clooney,Grant Heslov,Catch-22,1729294,375342,2391575,123,381416,475578,George Clooney,Luke Davies,Joseph Heller,David Michôd,45,3.4,0.7,4.4,34.3,5.0,34.3,198.0,6,1,US,US,28.3,39.1,Christopher Abbott, Kyle Chandler,33.7,13.7,7.7,19927,4.77
8430356,91740,This Way Up,tvSeries,2019,0,Hulu,18,Comedy,Comedy,1,en,Alex Winckler,Alex Winckler,This Way Up,3201406,3201406,3201406,1577262,1577262,1577262,Alex Winckler,Aisling Bea,Aisling Bea,Aisling Bea,23,7.4,7.4,7.4,0.6,0.6,0.6,14.7,12,2,GB,GB,20.2,22.8,Aisling Bea, Sharon Horgan,21.5,4.0,7.8,7877,4.29
7411098,98272,Baghdad Central,tvSeries,2020,2020,Hulu,14,Crime,Drama,0,en,Alice Troughton,Ben A. Williams,Baghdad Central,124661,12554270,13660092,1488618,3605431,1488618,Alice Troughton,Stephen Butchard,Elliott Colla,Mahmood Jumaah,60,1.4,1.4,1.4,0.7,1.4,0.7,71.0,6,1,GB,GB,12.3,3.8,Waleed Zuaiter, July Namir,8.1,1.2,7.2,1790,4.1
9059760,89905,Normal People,tvMiniSeries,2020,2020,Hulu,18,Drama,Romance,0,en,Lenny Abrahamson,Hettie Macdonald,Normal People,2690539,1248824,10745607,1049433,531751,1049433,Lenny Abrahamson,Alice Birch,Mark O'Rowe,Sally Rooney,30,1.6,1.5,1.4,2.8,1.9,2.8,100.0,12,1,GB,GB,39.8,15.2,Daisy Edgar-Jones, Paul Mescal,27.5,2.0,8.4,84408,5.11
2211129,44857,The Mindy Project,tvSeries,2012,2017,Hulu,7,Comedy,Comedy,1,en,Michael Spiller,Michael Weaver,The Mindy Project,1411676,4030798,3265847,818785,915920,736821,Michael Spiller,Mindy Kaling,Chris Schleicher,Lang Fisher,22,5.1,1.4,1.9,1.7,5.6,1.7,299.7,117,6,US,US,20.2,13.7,Mindy Kaling, Ed Weeks,17.0,2.9,7.5,34578,4.84
