,imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,imdb_rating,imdb_no_votes,Streamer,Age,imdb_id2,tmdb_id,creators,writer_1,writer_2,writer_3,director_1,director_2,director_3,genre_1,genre_2,director_1_name,director_2_name,director_3_name,writer_1_name,writer_2_name,writer_3_name
1407,tt0866442,tvSeries,Eastbound & Down,Eastbound & Down,2009,2013,28,8.2,63137.0,HBO(Max),18,866442,8624,"('Ben Best', 'Jody Hill', 'Danny McBride')",0078897,2095817.0,1144419.0,2095817,337773.0,570912.0,Comedy,Drama,Jody Hill,David Gordon Green,Jody Hill,Ben Best,Jody Hill,Danny McBride
1408,tt1229413,tvSeries,Hung,Hung,2009,2011,30,7.2,22887.0,HBO(Max),18,1229413,18614,"('Colette Burson', 'Dmitry Lipkin')",0123353,513486.0,1236670.0,0003733,400486.0,3802.0,Comedy,Drama,Daniel Attias,Bronwen Hughes,Daniel Attias,Colette Burson,Dmitry Lipkin,Brett C. Leonard
1409,tt1299365,tvSeries,How to Make It in America,How to Make It in America,2010,2011,30,7.9,16119.0,HBO(Max),18,1299365,32023,Ian Edelman,2361811,625158.0,911505.0,0267497,148116.0,500444.0,Comedy,Drama,Julian Farino,Simon Cellan Jones,Julian Farino,Ian Edelman,Arty Nelson,Donal Lardner Ward
1410,tt1509004,tvSeries,Enlightened,Enlightened,2011,2013,28,7.6,10001.0,HBO(Max),18,1509004,34594,"('Laura Dern', 'Mike White')",0000368,925234.0,,0925234,37708.0,392237.0,Comedy,Drama,Mike White,Miguel Arteta,Mike White,Laura Dern,Mike White,
1411,tt1723816,tvSeries,Girls,Girls,2012,2017,28,7.4,76547.0,HBO(Max),18,1723816,42282,Lena Dunham,2501633,4147820.0,5088036.0,2501633,673400.0,791672.0,Comedy,Drama,Lena Dunham,Jesse Peretz,Lena Dunham,Lena Dunham,Jason Kim,Sarah Heyward
1412,tt1759761,tvSeries,Veep,Veep,2012,2019,28,8.4,61987.0,HBO(Max),18,1759761,2947,Armando Iannucci,0406334,1006581.0,733988.0,0551953,1128050.0,406334.0,Comedy,Comedy,Becky Martin,Chris Addison,Becky Martin,Armando Iannucci,Simon Blackwell,Tony Roche
1413,tt2340036,tvSeries,Family Tree,Family Tree,2013,2013,30,7.4,3609.0,HBO(Max),7,2340036,132559,,0001302,682063.0,,0001302,0001302,0001302,Comedy,Comedy,Christopher Guest,Christopher Guest,Christopher Guest,Christopher Guest,Jim Piddock,
1414,tt2342652,tvSeries,Getting On,Getting On,2013,2015,30,7.8,3902.0,HBO(Max),18,2342652,57756,"('Mark V. Olsen', 'Will Scheffer')",0104476,647739.0,672621.0,0037708,222043.0,551953.0,Comedy,Comedy,Miguel Arteta,Howard Deutch,Miguel Arteta,Jo Brand,Mark V. Olsen,Vicki Pepperdine
1415,tt2378794,tvSeries,Hello Ladies,Hello Ladies,2013,2014,29,7.4,13338.0,HBO(Max),18,2378794,53300,"('Stephen Merchant', 'Gene Stupnitsky', 'Lee Eisenberg')",1072409,580351.0,1969144.0,0580351,267497.0,199948.0,Comedy,Comedy,Stephen Merchant,Julian Farino,Stephen Merchant,Lee Eisenberg,Stephen Merchant,Gene Stupnitsky
1416,tt2581458,tvSeries,Looking,Looking,2014,2015,30,8.2,21106.0,HBO(Max),18,2581458,57774,Michael Lannan,2328145,6152442.0,354091.0,0354091,44803.0,281396.0,Comedy,Drama,Andrew Haigh,Jamie Babbit,Andrew Haigh,Michael Lannan,J.C. Lee,Andrew Haigh
1417,tt2575988,tvSeries,Silicon Valley,Silicon Valley,2014,2019,28,8.5,162755.0,HBO(Max),18,2575988,60573,"('Mike Judge', 'John Altschuler', 'Dave Krinsky')",1014365,431918.0,1015106.0,0431918,73688.0,44803.0,Comedy,Comedy,Mike Judge,Alec Berg,Mike Judge,John Altschuler,Mike Judge,Dave Krinsky
1418,tt2891574,tvSeries,Ballers,Ballers,2015,2019,30,7.8,75526.0,HBO(Max),18,2891574,62704,Stephen Levinson,0506100,3135260.0,2483942.0,0731146,791381.0,441899.0,Comedy,Drama,Rob Weiss,Millicent Shelton,Rob Weiss,Stephen Levinson,Rashard Mendenhall,Zach Robbins
1419,tt3216586,tvSeries,The Brink,The Brink,2015,2015,30,7.7,14654.0,HBO(Max),18,3216586,15907,"('Roberto Benabib', 'Kim Benabib')",5975743,70142.0,1439546.0,0499724,2835.0,614013.0,Comedy,Comedy,Michael Lehmann,Adam Bernstein,Michael Lehmann,Kim Benabib,Roberto Benabib,Dave Holstein
1420,tt3061830,tvSeries,Togetherness,Togetherness,2015,2016,30,7.5,9188.0,HBO(Max),18,3061830,61637,"('Jay Duplass', 'Mark Duplass')",0243231,243233.0,1587813.0,0243231,243233.0,392237.0,Comedy,Drama,Jay Duplass,Mark Duplass,Jay Duplass,Jay Duplass,Mark Duplass,Steve Zissis
1421,tt4304864,tvSeries,Divorce,Divorce,2016,2019,30,6.8,8281.0,HBO(Max),18,4304864,67280,Sharon Horgan,1279721,1705625.0,2892234.0,0002835,673400.0,1884278.0,Comedy,Drama,Adam Bernstein,Jesse Peretz,Adam Bernstein,Sharon Horgan,Marina Franklin,Kristen Lange
1422,tt6078096,tvSeries,High Maintenance,High Maintenance,2016,2020,30,8.1,10235.0,HBO(Max),18,6078096,67243,"('Ben Sinclair', 'Katja Blichfeld')",4161154,1739209.0,9585533.0,4161154,1739209.0,2151374.0,Comedy,Drama,Ben Sinclair,Katja Blichfeld,Ben Sinclair,Ben Sinclair,Katja Blichfeld,Isaac Oliver
1423,tt5024912,tvSeries,Insecure,Insecure,2016,2021,30,8.1,21680.0,HBO(Max),18,5024912,67883,"('Larry Wilmore', 'Issa Rae')",4793987,932831.0,6792665.0,2027419,106230.0,1079781.0,Comedy,Drama,Melina Matsoukas,Kevin Bray,Melina Matsoukas,Issa Rae,Larry Wilmore,Syreeta Singleton
1424,tt3766376,tvSeries,Vice Principals,Vice Principals,2016,2018,30,8.0,30534.0,HBO(Max),18,3766376,65150,"('Jody Hill', 'Danny McBride')",2095817,1144419.0,1304396.0,2095817,337773.0,1144419.0,Comedy,Comedy,Jody Hill,David Gordon Green,Jody Hill,Jody Hill,Danny McBride,John Carcieri
